,InletMethod,SMILES,RetentionTime,MolPol,IES
191,Standard_3min_col3_sur,CCCCOc1ccc(cc1)c2nn(cc2C)c3ccc(Cl)cc3,163.8558,252.11389292757943,-0.1707134730855152
192,Standard_3min_col3_sur,FC(F)(F)c1c(cnn1c2ccccc2)C(=O)NC3=CC(=O)NC=C3,81.3402,213.85282435884304,-0.27568145961832324
193,Standard_3min_col3_sur,CCS(=O)(=O)c1ccc(cc1)[C@@H](NC(=O)C2COC2)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,93.1812,324.0904360982148,-0.4964010373765473
194,Standard_3min_col3_sur,CN(C)S(=O)(=O)c1ccc(NC(=O)c2cc(c3ccccc3)n(c2C)c4ccccc4)cc1C,135.22799999999998,351.9424191045262,-0.3477776887007992
195,Luna_NH3_1,NS(=O)(=O)c1cccc(c1)[C@@H]2CNCc3c(Cl)cc(Cl)cc23,141.1782,234.2447383911113,-0.26241165918849696
196,BEH_NH3_3,C[C@H](NC(=O)c1nn(C)cc1N)c2ccccc2,105.75,179.96076091206703,-0.2515309356464927
197,Luna_NH3_1,CC(C)C[C@H](NC(=O)C[C@@H](N)Cc1ccccc1)C(=O)O,161.13000000000005,212.12000478844828,-0.3277280037318143
198,HSS_C18_NH3_4,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(cc2)C(OC)(C(F)(F)F)C(F)(F)F)cc1,59.901,278.22783261578616,-0.3744764862365242
199,EP_NH3_2,CCn1nc(C)c(c1C)S(=O)(=O)Nc2cc(cnc2Cl)c3cc(OC)nn3C,53.6508,280.1318377738209,-0.3406262218324308
200,EP_NH3_2,CCn1nc(C)c(c1C)S(=O)(=O)Nc2cc(cnc2Cl)c3cccnc3C,61.0008,276.9239849318208,-0.31563015459363475
201,Standard_3min_col4_sur,CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CSSc2ccccn2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccccc3)NC1=O)[C@@H](C)O,123.441,560.7875574426977,-0.8181839850230805
202,Standard_3min_col3_sur,CCn1nc(C)c(c1C)S(=O)(=O)Nc2cc(cnc2Cl)c3ccccc3CN(C)C,64.5,314.29250424683653,-0.3419076197981488
203,Standard_3min_col3_sur,CCn1nc(C)c(c1C)S(=O)(=O)Nc2cc(cnc2Cl)c3cccnc3C,62.8158,276.9239849318208,-0.31563015459363475
204,Standard_3min_col2_alk,CC(C)C[C@H](NC(=O)[C@H]1COc2ccccc2O1)C(=O)O,53.56200000000001,195.8884468540518,-0.30174954602623444
